Dataset,Mixture Label,smi_0,smi_1,smi_2,smi_3,smi_4,smi_5,smi_6,smi_7,smi_8,smi_9,smi_10,smi_11,smi_12,smi_13,smi_14,smi_15,smi_16,smi_17,smi_18,smi_19,smi_20,smi_21,smi_22,smi_23,smi_24,smi_25,smi_26,smi_27,smi_28,smi_29,smi_30,smi_31,smi_32,smi_33,smi_34,smi_35,smi_36,smi_37,smi_38,smi_39,smi_40,smi_41,smi_42
Snitz 1,1,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCCC(=O)O,CC1=CC=C(C=C1)O,CC1=CC=C(C=C1)OC(=O)C(C)C,CC1=CC=C(C=C1)OC,CC(C)C1=CC=C(C=C1)C=O,CC(CCCC(C)(C)O)CC=O,C=CCCC(=O)O,C1=CSC=C1,COC1=C(C=CC(=C1)C=O)O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,2,C1=CC=C(C=C1)C=O,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,C1=CC=C2C(=C1)C=CC(=O)O2,CCCCNCCCC,CCCC(=O)OCC,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=CC=C1O,CCCCCC=O,C1=CC=C2C(=C1)C=CN2,C1=CC=C(C=C1)CCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,3,CCCCCC1CCC(=O)O1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,4,CC(C)CCOC(=O)C,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCCSCCCC,C1=CC=C2C(=C1)C=CC(=O)O2,C1CCC(CC1)O,CCCCNCCCC,CC(C)(CCC1=CC=CC=C1)O,CC1=NC=CN=C1C,CSSSC,CCCC(=O)OCC,CC1(C2CCC(O1)(CC2)C)C,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=CC=C1O,CC(=CCC[C@](C)(C=C)O)C,CCC(OC)OC,CC1=CC2=C(C=C1)N=CC=C2,C1=CC=C(C=C1)CC(=O)O,CC1=CC(=O)CC(C1)(C)C,CCCC(=O)OCCC,CC(C)CC(=O)O,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,5,CCCCCOC(=O)CCC,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCCSCCCC,CC1=CC(=C(C=C1Cl)C(C)C)O,C1=CC=C2C(=C1)C=CC(=O)O2,CC1=CC=C(C=C1)OC(=O)C,C1CCC(CC1)O,CCCCNCCCC,CC(C)(CCC1=CC=CC=C1)O,CC1=CN=C(C=N1)C,CSSSC,CCCC(=O)OCC,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=CC=C1O,CCCCCC=O,CCCCCC(=O)O,CCCCCCO,CCCC(CC)O,CCC/C=C/C=O,C1=CC=C2C(=C1)C=CN2,CC(=CCC[C@](C)(C=C)O)C,CCC(OC)OC,CC1=CC2=C(C=C1)N=CC=C2,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C1=CC=C(C=C1)CC(=O)O,C#CC1=CC=CC=C1,CC1=CC(=O)CC(C1)(C)C,CCCC(=O)OCCC,CCCCCCCC1CCC(=O)O1,CC(C)CC(=O)O,,,,,,,,,,,,,
Snitz 1,6,CCCCCC1CCC(=O)O1,CC(C)CCOC(=O)C,CCCCCOC(=O)CCC,C1=CC=C(C=C1)C=O,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,CCCCSCCCC,CC1=CC(=C(C=C1Cl)C(C)C)O,C1=CC=C2C(=C1)C=CC(=O)O2,CC1=CC=C(C=C1)OC(=O)C,C1CCC(CC1)O,CCCCNCCCC,CCCC(=O)OC(C)(C)CC1=CC=CC=C1,CC(C)(CCC1=CC=CC=C1)O,CC1=NC=CN=C1C,CC1=CN=C(C=N1)C,CSSSC,CCCC(=O)OCC,CCC1=NC=CN=C1,CC1(C2CCC(O1)(CC2)C)C,COC1=C(C=CC(=C1)CC=C)O,COC1=CC=CC=C1O,CCCCCCC=O,CCCCCC=O,CCCCCC(=O)O,CCCCCCO,CCCC(CC)O,CCC/C=C/C=O,C1=CC=C2C(=C1)C=CN2,CC(=CCC[C@](C)(C=C)O)C,CCC(OC)OC,CC1=CC2=C(C=C1)N=CC=C2,CCCC(=O)SC,CC1COCC2=CC3=C(C=C12)C(C(C3(C)C)C)(C)C,C1=CC=C(C=C1)CC(=O)O,C#CC1=CC=CC=C1,C1=CC=C(C=C1)CCO,CC1=CC(=O)CC(C1)(C)C,CCCC(=O)OCCC,CCCCCCCC1CCC(=O)O1,CC(C)CC(=O)O,,,
Snitz 1,7,CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C2(C)C)C,COC1=CC=CC=C1O,CC(=CCC[C@](C)(C=C)O)C,CC1=CC(=O)CC(C1)(C)C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,8,CCCCC/C=C/C=C/C=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,9,CC(=O)C1=CC=CC=C1,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CCCC(=O)O,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CC/C=C/1\C2=CC=CC=C2C(=O)O1,C1=CC=C(C=C1)C=CC=O,CC1=CC=C(C=C1)OC(=O)C(C)C,CC(C)C1=CC=C(C=C1)C=O,CCCCC/C=C/C=C/C=O,CCC(=O)OCC,C1=COC(=C1)CS,CC(CCCC(C)(C)O)CC=O,COC1=CC2=CC=CC=C2C=C1,COC(=O)C1=CC=CC=C1N,CCCCCCCCCOC(=O)C,CC1=CNC2=CC=CC=C12,C1=CSC=C1,C=CCCCCCCCCC(=O)O,CC1CCC(=O)O1,COC1=C(C=CC(=C1)C=O)O,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,10,CC(=O)C1=CC=CC=C1,CCOC(=O)C1C(O1)(C)C2=CC=CC=C2,CC(C)CCOC(=O)CC1=CC=CC=C1,COC1=CC=CC=C1,CCCC(=O)O,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,CC/C=C/1\C2=CC=CC=C2C(=O)O1,C1=CC=C(C=C1)C=CC=O,CC1=CC=C(C=C1)O,CC1=CC=C(C=C1)OC(=O)C(C)C,CC1=CC=C(C=C1)OC,CC(C)C1=CC=C(C=C1)C=O,CCCCC/C=C/C=C/C=O,C1=CC=C(C=C1)OC2=CC=CC=C2,CCC(=O)OCC,C1=COC(=C1)CS,CCCCCCCO,CC(CCCC(C)(C)O)CC=O,CC(CCC=C(C)C)C=O,COC(=O)C1=CC=CC=C1N,CCCCCCCCCOC(=O)C,CCCCCCCCO,CCCCC(=O)O,C=CCCC(=O)O,CC1=CCC2CC1C2(C)C,CCCSCCC,CC1=CNC2=CC=CC=C12,CC1=CC=CC=C1C=O,CC1=CC=CC=C1,COC1=C(C=CC(=C1)C=O)O,,,,,,,,,,,,,
